FECHA,ANNO,MES,DIA,ESTADO MP10,"ESTADO MP2,5"
2018-06-15,2018,6,15,REGULAR,ALERTA
2018-06-16,2018,6,16,ALERTA,PREEMERGENCIA
2018-06-17,2018,6,17,ALERTA,PREEMERGENCIA
2018-06-18,2018,6,18,ALERTA,PREEMERGENCIA
2018-06-19,2018,6,19,REGULAR,ALERTA
2018-06-20,2018,6,20,BUENO,REGULAR
2018-06-21,2018,6,21,REGULAR ,ALERTA
2018-06-22,2018,6,22,REGULAR,REGULAR
2018-06-23,2018,6,23,REGULAR,ALERTA
2018-06-24,2018,6,24,REGULAR,PREEMERGENCIA
2018-06-25,2018,6,25,BUENO,REGULAR
2018-06-26,2018,6,26,BUENO,REGULAR
2018-06-27,2018,6,27,REGULAR,ALERTA
2018-06-28,2018,6,28,REGULAR,ALERTA
2018-06-29,2018,6,29,REGULAR,REGULAR
2018-06-30,2018,6,30,REGULAR,ALERTA
2018-07-01,2018,7,1,BUENO,REGULAR
2018-07-02,2018,7,2,BUENO,REGULAR
2018-07-03,2018,7,3,BUENO,REGULAR
2018-07-04,2018,7,4,BUENO,REGULAR
2018-07-05,2018,7,5,BUENO,BUENO
2018-07-06,2018,7,6,BUENO,BUENO
2018-07-07,2018,7,7,BUENO,REGULAR
2018-07-08,2018,7,8,REGULAR,ALERTA
2018-07-09,2018,7,9,REGULAR,PREEMERGENCIA
2018-07-10,2018,7,10,REGULAR,ALERTA
2018-07-11,2018,7,11,BUENO,REGULAR
2018-07-12,2018,7,12,BUENO,REGULAR
2018-07-13,2018,7,13,REGULAR,ALERTA
2018-07-14,2018,7,14,REGULAR,REGULAR
2018-07-15,2018,7,15,REGULAR,REGULAR
2018-07-16,2018,7,16,BUENO,REGULAR
2018-07-17,2018,7,17,BUENO,REGULAR
2018-07-18,2018,7,18,BUENO,BUENO
2018-07-19,2018,7,19,BUENO,BUENO
2018-07-20,2018,7,20,BUENO,REGULAR
2018-07-21,2018,7,21,REGULAR,ALERTA
2018-07-22,2018,7,22,BUENO,REGULAR
2018-07-23,2018,7,23,BUENO,REGULAR
2018-07-24,2018,7,24,BUENO,REGULAR
2018-07-25,2018,7,25,REGULAR,ALERTA
